word,translation
neulich,recently
kürzlich,recently (CH: Schweiz usage)
jedenfalls,in any case
allmählich,gradually
der Sprachkurs,language course
die Überschrift,headline
der Faktor,factor
das Detail,detail
die Rückmeldung,feedback
die Sitzung,"meeting, session"
die Statistik,statistics
der Inhalt,content
männlich,male
weiblich,female
allerdings,"however, though"
die Tätigkeit,"activity, occupation"
sinnvoll,"meaningful, useful"
steil,steep
die (Arbeits)stelle,"job, position"
das Einkommen,income
die Karriere,career
die Berufserfahrung,work experience
die Kündigung,"termination, resignation"
die Verantwortung,responsibility
die Weiterbildung,"further education, training"
die Herausforderung,challenge
die Mitbestimmung,"co-determination, participation"
die Kritik,criticism
das Feedback,feedback
deprimiert,depressed
kritisieren,to criticize
die Aushilfe,"temporary worker, assistant"
jobben,to work (casual jobs)
abonnieren,to subscribe
speichern,to save (data/files)
herstellen,"to produce,manufacture"
der Rabatt,discount
Kanal abonnieren,to subscribe to a channel
zuletzt,"last(ly),recently"
verkaufen,"to buy (oneself) , to purchase"
Geld verdienen,to earn money
verstecken (sich),to hide (oneself)
der Sack,"bag, sack"
flach / dünn,"flat ,thin"
leicht,light (in weight)
glatt,smooth
stabil,"stable, sturdy"
rund,round
trocken,dry
weich,soft
die Einleitung,introduction
verschmutzen,to pollute
verbrauchen,"to consume ,use up"
extrem,"extremely ,extreme"
die Droge,drug
sich eignen (für),to be suitable (for)
entstehen,"to arise ,to be created"
der Kaffeebecher,coffee cup (reusable)
der Vergleich,comparison
vermeiden,to avoid
giftig,"toxic, poisonous"
die Geldbörse / Geldtasche / Portemonnaie,"wallet, purse"
der Verbraucher / die Verbraucherin,consumer
recyceln,to recycle
der Strom,"electricity ,power"
künstlich,artificial
streng,strict
enttäuscht,disappointed
das Gericht,dish/meal
die Zutat,ingredient
die Bohne,bean
die Fisole,green bean (Austrian)
das Mehl,flour
die Karotte,carrot
der Joghurt,yogurt
das Joghurt,yogurt
das Hühnchen,chicken
das Hendl,roast chicken (Austrian)
das Poulet,chicken (Swiss)
die Zwiebel,onion
aufwärmen,to heat up
grillen,to grill
mixen,to mix
backen,to bake
braten,to fry/roast
hacken,to chop
kochen,to cook
reiben,to grate
roh,raw
zubereiten,to prepare
schälen,to peel
schneiden,to cut
stecken,to stick/insert
der Trend,trend
das Aussehen,appearance
die Seite,page/side
die Botschaft,message
hungrig,hungry
der Senf,mustard
übersetzen,to translate
gewöhnlich,usual
normalerweise,normally


